Array Size,Time (seconds)
50000,1.43493e-45
100000,1.43493e-45
150000,1.43493e-45
200000,1.43493e-45
250000,1.43493e-45
300000,1.43493e-45
50000,1.43493e-45
50000,1.43493e-45
50000,0.0134521
100000,1.5264e-05
150000,3.3632e-05
200000,2.4224e-05
250000,2.5152e-05
300000,2.688e-05
50000,0.000126496
100000,1.4912e-05
150000,3.6864e-05
200000,2.1792e-05
250000,2.2912e-05
300000,2.7776e-05
50000,0.0340124
100000,0.0313561
150000,0.0548999
200000,0.0627737
250000,0.0675804
300000,0.103022
50000,0.0157611
100000,0.0313701
150000,0.0549109
200000,0.0590611
250000,0.0665561
300000,0.103005
100000,0.0314822
200000,0.0627979
300000,0.103778
400000,0.117781
500000,0.133257
600000,0.206212
700000,0.226251
800000,0.299883
900000,0.339233
1000000,0.384443
100000,0.0226919
200000,0.0465648
300000,0.0819242
400000,0.0863692
500000,0.0940748
600000,0.146606
700000,0.166911
800000,0.178617
900000,0.200203
1000000,0.21416
100000,0.0314769
200000,0.0627673
300000,0.106811
400000,0.117786
500000,0.133288
600000,0.206259
700000,0.225443
800000,0.263478
900000,0.33937
1000000,0.384419
1000000,0.232497
2000000,0.486384
3000000,0.895862
4000000,1.00904
5000000,1.7061
6000000,1.81917
7000000,1.93269
8000000,2.04642
9000000,3.3264
10000000,3.43967
1000000,0.390275
2000000,0.788224
3000000,1.35507
4000000,1.57793
5000000,2.45835
6000000,2.72216
7000000,2.94502
8000000,3.16495
9000000,4.6308
10000000,4.94849
1000000,0.23313
2000000,0.489139
3000000,0.903763
4000000,1.01491
5000000,1.71611
6000000,1.82975
7000000,1.94385
8000000,2.05728
9000000,3.35451
10000000,3.45945
10000000,3.44945
20000000,6.91015
30000000,8.05507
40000000,13.9132
50000000,15.0506
60000000,16.2618
70000000,26.8675
80000000,27.8516
90000000,28.8319
100000000,29.9621
10000000,4.93259
20000000,9.86819
30000000,12.2568
40000000,19.756
50000000,22.5302
60000000,24.6655
70000000,36.998
80000000,39.972
90000000,42.76
100000000,45.2367
10000000,4.96028
20000000,9.92053
30000000,12.3282
40000000,19.7515
50000000,22.386
60000000,24.5626
10000000,0.0187792
20000000,0.000183328
30000000,0.000266944
40000000,0.000350496
50000000,0.000516832
60000000,0.000516992
70000000,0.00068416
80000000,0.00066384
90000000,0.00072992
100000000,0.000932512
100,0.000128384
200,1.2192e-05
300,1.2224e-05
400,1.84e-05
500,1.296e-05
600,1.3248e-05
700,1.312e-05
800,1.4336e-05
900,1.4432e-05
1000,1.4336e-05
10,0.000120832
20,1.1968e-05
30,1.1264e-05
40,1.0368e-05
50,1.1104e-05
60,1.1104e-05
70,1.1264e-05
80,1.0656e-05
90,1.0368e-05
100,1.1232e-05
10,0.000125952
20,1.2224e-05
30,1.0528e-05
40,1.0464e-05
50,1.0368e-05
60,1.0592e-05
70,1.0336e-05
80,1.1008e-05
90,1.1264e-05
100,1.1264e-05
10,0.000126304
20,1.3088e-05
30,1.1264e-05
40,1.1296e-05
50,1.1264e-05
60,1.1264e-05
70,1.2032e-05
80,1.1264e-05
90,1.1488e-05
100,1.2e-05
10,0.000121536
20,1.3024e-05
30,1.1264e-05
40,1.9456e-05
50,1.2064e-05
60,1.1264e-05
70,1.1264e-05
80,1.136e-05
90,1.1936e-05
100,1.2064e-05
10,0.174762
20,0.000345088
30,0.00029664
40,0.000449472
50,0.000276352
60,0.000281536
70,0.000277248
80,0.00042512
90,0.00030096
100,0.000278144
10,0.00094208
20,0.000324608
30,0.000332448
40,0.000585792
50,0.000309248
60,0.000303104
70,0.000318496
80,0.000567296
90,0.00030736
100,0.000296992
10,0.177954
20,0.00035904
30,0.000291168
40,0.000463584
50,0.000289792
60,0.000277664
70,0.00028048
80,0.00044032
90,0.00027648
100,0.000273408
1000000,0.00174154
2000000,0.00172419
3000000,0.00245117
4000000,0.00320106
5000000,0.00342739
6000000,0.00389923
7000000,0.00439341
8000000,0.00514288
9000000,0.00543555
10000000,0.0058671
